date_time,count,running_total
9/11/15,5,5
10/11/15,7,12
11/11/15,6,18
12/11/15,2,20
13/11/15,7,27
14/11/15,6,33
15/11/15,5,38
16/11/15,15,53
17/11/15,28,81
19/11/15,1,82
20/11/15,1,83
21/11/15,2,85
23/11/15,1,86
24/11/15,1,87
25/11/15,6,93
26/11/15,9,102
29/11/15,8,110
30/11/15,2,112
1/12/15,2,114
2/12/15,1,115
3/12/15,3,118
4/12/15,4,122
5/12/15,2,124
6/12/15,8,132
7/12/15,2,134
8/12/15,1,135
9/12/15,2,137
11/12/15,12,149
12/12/15,5,154
15/12/15,1,155
16/12/15,1,156
18/12/15,1,157
21/12/15,3,160
22/12/15,3,163
23/12/15,1,164
27/12/15,10,174
28/12/15,4,178
31/12/15,10,188
1/1/16,1,189
2/1/16,3,192
3/1/16,7,199
4/1/16,3,202
5/1/16,8,210
6/1/16,2,212
7/1/16,8,220
8/1/16,13,233
9/1/16,5,238
10/1/16,11,249
11/1/16,4,253
12/1/16,2,255
17/1/16,3,258
18/1/16,1,259
2/2/16,1,260
8/2/16,11,271
17/2/16,4,275
22/2/16,2,277
23/2/16,3,280
25/2/16,1,281
26/2/16,1,282
27/2/16,5,287
28/2/16,7,294
29/2/16,5,299
1/3/16,1,300
2/3/16,6,306
3/3/16,2,308
5/3/16,3,311
7/3/16,8,319
8/3/16,17,336
9/3/16,8,344
10/3/16,4,348
11/3/16,42,390
12/3/16,1,391
13/3/16,5,396
14/3/16,8,404
15/3/16,3,407
16/3/16,5,412
17/3/16,11,423
18/3/16,5,428
19/3/16,10,438
20/3/16,20,458
21/3/16,81,539
22/3/16,112,651
23/3/16,23,674
24/3/16,17,691
26/3/16,5,696
27/3/16,16,712
28/3/16,24,736
29/3/16,2,738
30/3/16,20,758
31/3/16,26,784
1/4/16,28,812
2/4/16,18,830
3/4/16,16,846
5/4/16,19,865
6/4/16,2,867
7/4/16,60,927
8/4/16,15,942
9/4/16,7,949
10/4/16,28,977
11/4/16,14,991
12/4/16,2,993
13/4/16,30,1023
14/4/16,20,1043
15/4/16,16,1059
16/4/16,50,1109
17/4/16,115,1224
18/4/16,12,1236
19/4/16,3,1239
20/4/16,2,1241
21/4/16,23,1264
22/4/16,15,1279
23/4/16,2,1281
24/4/16,15,1296
25/4/16,12,1308
26/4/16,1,1309
27/4/16,2,1311
28/4/16,4,1315
30/4/16,7,1322
1/5/16,2,1324
2/5/16,2,1326
3/5/16,135,1461
4/5/16,7,1468
5/5/16,6,1474
6/5/16,1,1475
7/5/16,8,1483
9/5/16,5,1488
10/5/16,1,1489
12/5/16,1,1490
13/5/16,23,1513
14/5/16,4,1517
15/5/16,12,1529
16/5/16,13,1542
17/5/16,49,1591
18/5/16,128,1719
19/5/16,12,1731
20/5/16,59,1790
21/5/16,7,1797
22/5/16,11,1808
23/5/16,1,1809
24/5/16,18,1827
27/5/16,4,1831
28/5/16,2,1833
29/5/16,5,1838
30/5/16,1,1839
1/6/16,5,1844
3/6/16,59,1903
4/6/16,21,1924
5/6/16,8,1932
6/6/16,3,1935
7/6/16,9,1944
8/6/16,15,1959
9/6/16,25,1984
10/6/16,12,1996
11/6/16,4,2000
12/6/16,72,2072
13/6/16,1,2073
14/6/16,67,2140
15/6/16,16,2156
16/6/16,6,2162
17/6/16,15,2177
18/6/16,12,2189
19/6/16,10,2199
20/6/16,2,2201
21/6/16,12,2213
22/6/16,63,2276
23/6/16,3,2279
25/6/16,22,2301
27/6/16,8,2309
30/6/16,3,2312
1/7/16,9,2321
2/7/16,3,2324
3/7/16,30,2354
4/7/16,8,2362
7/7/16,4,2366
8/7/16,6,2372
9/7/16,7,2379
10/7/16,12,2391
11/7/16,3,2394
12/7/16,1,2395
13/7/16,5,2400
14/7/16,10,2410
15/7/16,11,2421
